confidence,entropy,margin,error
0.91826737,0.28298083,0.83653474,0
0.8218716,0.46854362,0.64374316,0
0.9511398,0.19514543,0.9022796,0
0.8761647,0.3744976,0.75232935,0
0.8581447,0.40831718,0.7162894,0
0.96168715,0.16254476,0.9233743,0
0.89855415,0.32824832,0.7971083,0
0.9710556,0.13105333,0.94211125,0
0.81964505,0.47193128,0.6392901,0
0.66066706,0.64059204,0.3213341,0
0.8477106,0.42665982,0.6954212,0
0.9002017,0.3246396,0.80040336,0
0.92350906,0.27011424,0.8470181,0
0.5660279,0.6844023,0.13205576,0
0.90644395,0.3106889,0.8128879,0
0.6048806,0.6709831,0.20976114,1
0.66210943,0.6396264,0.32421887,0
0.53106725,0.69121563,0.062134534,0
0.95736283,0.17623651,0.91472566,0
0.663898,0.63841605,0.32779595,0
0.6333855,0.6571292,0.26677096,1
0.8100722,0.48611826,0.62014437,0
0.572441,0.6826148,0.14488196,0
0.89294845,0.3403061,0.7858969,0
0.71554273,0.5971139,0.43108547,0
0.9550936,0.18323502,0.91018724,0
0.76797295,0.5417141,0.5359459,0
0.7721496,0.53666586,0.54429924,0
0.951188,0.19500215,0.90237606,0
0.5533528,0.68744326,0.10670555,0
0.9149624,0.29090372,0.8299248,0
0.9381712,0.23197013,0.8763424,1
0.9037287,0.31681207,0.80745745,0
0.5699969,0.68331575,0.13999379,1
0.9111681,0.2998269,0.8223362,0
0.78390104,0.52192605,0.5678021,1
0.6189994,0.66455185,0.23799884,1
0.52285826,0.69210184,0.045716524,1
0.7530563,0.5589525,0.5061126,0
0.6806011,0.6264155,0.36120224,0
0.9289955,0.2562296,0.857991,0
0.868044,0.3900881,0.73608804,0
0.9148532,0.2911631,0.82970643,0
0.73244274,0.5808141,0.46488544,0
0.9411875,0.2236875,0.882375,0
0.7545686,0.55726016,0.50913715,1
0.87516093,0.37645686,0.75032187,0
0.7244259,0.5887245,0.44885182,1
0.9348528,0.24090143,0.86970556,0
0.65204537,0.6461713,0.30409074,1
0.6707728,0.63363004,0.34154558,0
0.87447405,0.37779236,0.7489481,0
0.9237065,0.2696222,0.84741294,0
0.7771098,0.53054166,0.5542196,0
0.66400814,0.63834107,0.32801628,0
0.84752464,0.42697892,0.6950493,0
0.87711054,0.3726428,0.7542211,0
0.87609994,0.37462422,0.7521999,0
0.8077811,0.48942447,0.6155622,0
0.89829814,0.32880628,0.7965963,0
0.83526206,0.4474436,0.6705241,0
0.5129963,0.69280934,0.025992602,0
0.5314261,0.6911707,0.062852114,0
0.93615276,0.23742467,0.8723055,0
0.5753449,0.68175006,0.15068984,1
0.7887071,0.5156647,0.57741416,0
0.5814238,0.6798283,0.16284764,0
0.91256833,0.29655507,0.82513666,0
0.8162726,0.4769987,0.63254523,0
0.8534303,0.41671252,0.70686054,0
0.5321398,0.6910798,0.06427953,0
0.8127451,0.48221797,0.6254902,0
0.8191662,0.47265548,0.63833237,0
0.57061136,0.6831418,0.14122272,0
0.9625873,0.15963258,0.9251746,0
0.8640075,0.39762148,0.72801495,0
0.902707,0.31909412,0.80541396,0
0.60317963,0.6717014,0.20635927,0
0.58021605,0.68022215,0.16043207,0
0.93170786,0.2491987,0.8634157,0
0.6480522,0.6486441,0.2961044,0
0.8349234,0.44799304,0.6698468,0
0.8242356,0.4649097,0.64847124,0
0.820526,0.47059494,0.641052,0
0.906242,0.3111473,0.812484,0
0.90786225,0.30745614,0.8157245,0
0.69431067,0.6156081,0.38862133,1
0.835325,0.44734144,0.67065,0
0.7759817,0.5319469,0.55196345,0
0.952264,0.19179426,0.904528,1
0.9351531,0.24010068,0.87030625,0
0.57514536,0.6818106,0.15029076,0
0.9465873,0.20844361,0.89317465,0
0.61383885,0.66699994,0.2276777,0
0.55338705,0.687436,0.10677409,0
0.83753216,0.44373953,0.6750643,0
0.8471071,0.42769444,0.6942142,0
0.65564406,0.6438825,0.31128812,0
0.7024202,0.6087997,0.40484035,1
0.79657805,0.50510985,0.5931561,1
0.89752555,0.33048612,0.7950511,0
0.9309348,0.25121418,0.8618696,0
0.5312855,0.69118834,0.06257102,0
0.91909814,0.28096652,0.8381963,0
0.69215727,0.6173637,0.38431454,1
0.8649511,0.395873,0.72990215,0
0.9148115,0.29126215,0.829623,0
0.6639865,0.63835573,0.327973,0
0.51234263,0.6928425,0.024685264,1
0.64463866,0.6507025,0.28927734,0
0.8910159,0.34438616,0.7820318,0
0.8786653,0.36957583,0.75733066,0
0.93911827,0.22938679,0.87823653,0
0.72654927,0.5866609,0.45309854,0
0.5602144,0.68587804,0.1204288,1
0.7242538,0.5888908,0.44850755,1
0.84953755,0.42351043,0.6990751,0
0.7840973,0.521673,0.5681946,0
0.70436746,0.60711825,0.40873492,0
0.9135498,0.2942471,0.82709956,1
0.9011556,0.3225364,0.8023112,0
0.60539377,0.67076397,0.21078753,1
0.9433066,0.21777064,0.88661325,0
0.8513206,0.42041147,0.70264125,0
0.9355903,0.23893233,0.87118065,0
0.71911705,0.5937853,0.43823412,0
0.8388512,0.44156992,0.6777024,0
0.52904487,0.69145906,0.058089733,1
0.6612909,0.6401756,0.32258174,0
0.85981715,0.40529528,0.7196343,1
0.9584473,0.1728477,0.91689456,0
0.74555975,0.56716096,0.4911195,1
0.76178414,0.5490146,0.5235683,0
0.7195806,0.593349,0.43916118,0
0.7134339,0.5990483,0.42686784,1
0.6279606,0.66003215,0.25592124,0
0.9315076,0.2497217,0.8630152,0
0.94842285,0.20313309,0.8968457,0
0.9230685,0.27121028,0.84613705,0
0.74312663,0.56976116,0.48625326,0
0.6930633,0.6166277,0.38612664,0
0.90050143,0.3239798,0.80100286,0
0.8766044,0.37363636,0.75320876,0
0.8623318,0.40070787,0.7246636,0
0.97156525,0.1292584,0.9431305,0
0.95047504,0.19711417,0.9009501,0
0.9418019,0.22198048,0.8836038,0
0.81254125,0.48251712,0.6250825,0
0.9244681,0.26771873,0.8489362,0
0.9331468,0.24542208,0.86629355,1
0.8350201,0.44783616,0.67004025,0
0.8051555,0.49317175,0.61031103,0
0.90045464,0.3240829,0.8009093,0
0.8643311,0.39702263,0.72866225,0
0.5441281,0.68924755,0.08825624,0
0.6716276,0.63302004,0.34325516,0
0.7802446,0.5265982,0.5604892,0
0.8131348,0.4816454,0.6262696,0
0.9017722,0.3211715,0.8035444,0
0.5517725,0.6877768,0.10354495,1
0.95914316,0.1706577,0.9182863,0
0.62319213,0.66247976,0.24638426,0
0.8221428,0.4681287,0.64428556,0
0.6045209,0.67113596,0.20904183,0
0.8673247,0.39144084,0.7346494,0
0.80510014,0.49325034,0.6102003,0
0.9169303,0.28620332,0.83386064,0
0.87824965,0.37039798,0.7564993,0
0.7152177,0.5974135,0.43043545,0
0.9651271,0.15129265,0.9302542,0
0.8165399,0.47659987,0.63307977,0
0.8648752,0.39601392,0.7297504,0
0.8477761,0.42654735,0.69555223,0
0.97021055,0.13400947,0.9404211,0
0.89113545,0.3441348,0.7822709,0
0.85009265,0.42254832,0.7001853,0
0.6572723,0.6428282,0.31454456,1
0.75906134,0.5521595,0.5181227,0
0.9216337,0.274761,0.84326744,0
0.73031497,0.58294535,0.46062994,1
0.62738883,0.6603308,0.25477767,1
0.91334486,0.29472995,0.8266897,0
0.88554305,0.3557334,0.7710861,0
0.6033322,0.6716374,0.20666444,1
0.5216587,0.69220865,0.043317437,0
0.788062,0.5165131,0.57612395,0
0.75020564,0.5621091,0.5004113,1
0.8379951,0.44297957,0.6759902,0
0.7586187,0.5526669,0.5172374,1
0.55519056,0.6870427,0.11038113,0
0.9557004,0.18137565,0.9114008,0
0.8642687,0.39713818,0.72853744,0
0.833119,0.45090604,0.66623795,0
0.8512068,0.42061007,0.70241356,0
0.9013598,0.32208484,0.8027196,0
0.71151483,0.6007898,0.4230297,0
0.8513034,0.42044154,0.7026068,0
0.7802328,0.5266132,0.5604656,0
0.6721722,0.63262963,0.34434435,0
0.5538187,0.687343,0.107637405,0
0.9580004,0.17424768,0.91600084,0
0.82286817,0.46701634,0.64573634,0
0.5003168,0.69314694,0.0006335974,1
0.9164711,0.28730464,0.83294225,1
0.753717,0.5582146,0.507434,0
0.8743111,0.37810856,0.7486222,0
0.84927285,0.42396832,0.6985457,0
0.94177777,0.22204764,0.88355553,0
0.89787215,0.32973337,0.7957443,0
0.5236182,0.69203115,0.047236472,0
0.9246303,0.2673123,0.84926057,0
0.92525613,0.2657405,0.85051227,0
0.5617436,0.6855031,0.123487204,0
0.5765539,0.6813799,0.15310776,1
0.84235835,0.43573844,0.6847167,0
0.610411,0.66856384,0.22082198,0
0.7313525,0.58190894,0.46270502,0
0.85468644,0.41449308,0.7093729,0
0.82157034,0.46900395,0.6431407,0
0.83223474,0.45232496,0.6644695,0
0.9393576,0.22873151,0.87871516,0
0.9305,0.2523437,0.86099994,0
0.5428564,0.68946934,0.08571279,1
0.6845139,0.62342,0.36902782,0
0.9164188,0.28742993,0.8328376,0
0.88607585,0.35464182,0.7721517,0
